player_id,name,position,jersey_number,weight,height,country_code,id_team,picture_url,dob,age,position_desc,team_name,team_abbr
44040,Atilio Demaria,3,,,,ARG,43922,,1909-03-19,117.2,Striker,Argentina,ARG
44726,Francisco Varallo,3,,,,ARG,43922,,1910-02-05,116.4,Striker,Argentina,ARG
46826,Angel Bossio,0,,,,ARG,43922,,1905-05-05,121.1,Goalkeeper,Argentina,ARG
46831,Juan Botasso,0,,,,ARG,43922,,1908-10-23,117.6,Goalkeeper,Argentina,ARG
47685,Alberto Chividini,1,,,,ARG,43922,,1907-02-23,119.3,Defender,Argentina,ARG
48403,Jose Della Torre,1,,,,ARG,43922,,1906-03-23,120.2,Defender,Argentina,ARG
49178,Juan Evaristo,2,,,,ARG,43922,,1902-06-20,124.0,Midfielder,Argentina,ARG
49179,Mario Evaristo,3,,,,ARG,43922,,1908-12-10,117.5,Striker,Argentina,ARG
49376,Manuel Ferreira,3,,,,ARG,43922,,1905-10-22,120.6,Striker,Argentina,ARG
49942,Roberto Cerro,3,,,,ARG,43922,,1907-02-23,119.3,Striker,Argentina,ARG
54812,Ramon Muttis,1,,,,ARG,43922,,1899-03-12,127.3,Defender,Argentina,ARG
55634,Rodolfo Orlandini,1,,,,ARG,43922,,1905-01-01,121.4,Defender,Argentina,ARG
55993,Fernando Paternoster,1,,,,ARG,43922,,1903-05-24,123.1,Defender,Argentina,ARG
56144,Natalio Perinetti,3,,,,ARG,43922,,1900-12-28,125.5,Striker,Argentina,ARG
57749,Alejandro Scopelli,3,,,,ARG,43922,,1908-05-12,118.1,Striker,Argentina,ARG
58320,Carlos Spadaro,3,,,,ARG,43922,,1902-02-05,124.4,Striker,Argentina,ARG
58521,Pedro Suarez,2,,,,ARG,43922,,1909-12-21,116.5,Midfielder,Argentina,ARG
60407,Adolfo Zumelzu,1,,,,ARG,43922,,1902-01-05,124.4,Defender,Argentina,ARG
61693,Guillermo Stabile,3,,,,ARG,43922,,1906-01-17,120.4,Striker,Argentina,ARG
69370,Edmundo Piaggio,2,,,,ARG,43922,,1910-10-03,115.7,Midfielder,Argentina,ARG
174777,Luis Monti,2,,,,ITA,43922,,1901-05-15,125.1,Midfielder,Argentina,ARG
174854,Carlos Peucelle,3,,,,ARG,43922,,1908-09-13,117.7,Striker,Argentina,ARG
